created,username,source,text,retwc,hashtag,followers,friends,polarity,subjectivity
2021-06-12 11:10:40,T–T,Twitter for iPhone,"RT @noranikoletta: Look, it's the Lore Man but anime 👀 Hope you guys like it, it took me some time ^^

#GEORGENOTFOUND #georgenotfoundfanar…",1585,GEORGENOTFOUND,14,78,0.0,0.0
2021-06-12 11:10:40,Random K-ON,RandomKon,Frame 10505 from Season 2 - Episode 2 『Clean-up!』 #けいおん #Kon #Anime https://t.co/rWBiKkPeKN,0,けいおん,2186,12,0.0,0.0
2021-06-12 11:10:40,Laxy,Twitter for iPhone,@XnBFN Fuck anime,0,None,82,369,-0.4,0.6
2021-06-12 11:10:36,X.Savior.inc,Twitter for iPhone,RT @animeroto: Anime fans felt this one https://t.co/BMnZzOTcJZ,514,None,51,153,0.0,0.0
2021-06-12 11:10:36,ฟมichiro 🦊 ῾D-15,Twitter Web App,"RT @Clandestein_Vox: Added music, SFX, and voices to @Glens_sou's Chainsaw Man animation! Please go support them!! (and hope they work on t…",1394,None,816,130,0.0,0.0
2021-06-12 11:10:36,k⁷ | stream 🧈,Twitter for Android,@shruburb read from chapter no 64 forst to present chapter. 1-63 is what's in the anime and it's word for word so y… https://t.co/RHS12TOs6d,0,None,1160,601,0.0,0.0
2021-06-12 11:10:34,K.KuRūRu$$,Twitter for Android,"@BreckinMathias I want Crash Bandicoot, but something tells me there is going to be a plot twist, an anime twist",0,None,173,348,0.0,0.0
2021-06-12 11:10:32,ᴮᴱAfza Afiqah⁷🧈,Twitter for Android,RT @anime_postt: Anime : Demon Slayer https://t.co/jHAJcBOjNz,199,None,141,67,0.0,0.0
2021-06-12 11:10:31,Shogi,Twitter Web App,RT @luulubuu: I really hope they don't forget about this scene in the new castlevania anime https://t.co/gwgCChxaxQ,2617,None,38,295,0.16818181818181818,0.32727272727272727
2021-06-12 11:10:30,punybane,Twitter for iPhone,"@joeda900 @EvanFilarca Garfield and anime, dayum pick a struggle homie. 😂",0,None,1,107,0.0,0.0
2021-06-12 11:10:26,sunnie/AC📌/ dm me if you can give a roblox rtd,Twitter for iPad,"@i_w4tch_anime u were the only one who entered 
lololol",0,None,372,98,0.0,1.0
2021-06-12 11:10:26,nia🍑,Twitter for iPad,RT @yutaokkostu: congrats to attack on titan for being the only anime to have armin arlert and annie leonhardt https://t.co/f74glW4Lrc,187,None,957,520,0.0,1.0
2021-06-12 11:10:26,vasu | anti-romantic ❄️,Twitter for Android,RT @animevizuaI: Anime : My Hero Academia https://t.co/QfiHBtrR1i,330,None,189,503,0.0,0.0
2021-06-12 11:10:23,〽️oreira,Twitter for Android,RT @animeroto: Anime fans felt this one https://t.co/BMnZzOTcJZ,514,None,1884,1269,0.0,0.0
2021-06-12 11:10:23,⚰,Twitter Web App,@tho_why_but The anime is really gooodd but the manga is better. I think watching the anime first and then reading… https://t.co/4e3jOJyfqj,0,None,851,942,0.31666666666666665,0.3444444444444444
2021-06-12 11:10:23,ANKIngina,Twitter for Android,char di rin naman ako nanood 🤪 but i did watch tagalog inuyasha and naruto and then a bunch of hero tv later on. th… https://t.co/Dl1vrkEKrF,0,None,360,475,0.0,0.0
2021-06-12 11:10:21,Asia Bella💙💛,Twitter for Android,RT @AnimeKoala: Sales are slightly higher so far. But yeah I think Volume 17 or 18 is where we will see the impact of the anime.  Lets hope…,1,None,865,1939,0.175,0.75
2021-06-12 11:10:19,Mark #ThankYouMiura,Twitter for Android,"@LastAfricanWeeb Interesting.
DMC probably isn't an ""ANIME"" like Castlevania, Just anime-like art style",0,None,97,1313,0.5,0.5
2021-06-12 11:10:19,Bambi🥀,Twitter for Android,"Well, i normally watch anime in 1.25x 😂",0,None,416,404,0.15,0.6499999999999999
2021-06-12 11:10:18,🤍Aomi Uchiyama VA🤍,Twitter for iPhone,"@aerieina @finalmasterm0dx Because you both know EVERY anime character you've reposted, riiiiiight😂",0,None,1026,404,0.0,0.0
2021-06-12 11:10:18,🌙,Twitter for Android,idk if i should drop anime contents here or not lmao,0,None,140,93,-0.3,1.0
2021-06-12 11:10:17,Sardip Parajuli,Twitter for Android,RT @ianizboring: One Piece's anime has top tier VA performances,167,None,85,809,0.5,0.5
2021-06-12 11:10:17,the hateful cell,Twitter for Android,"RT @Guilherme13016: @AhabsStudios @amazingabellini ""Yeah, we pirate/fansub anime, but at least we actually translate the dialogue correctly…",19,None,321,1820,-0.15,0.25
2021-06-12 11:10:15,tibi,Twitter for Android,RT @luulubuu: I really hope they don't forget about this scene in the new castlevania anime https://t.co/gwgCChxaxQ,2617,None,51,1655,0.16818181818181818,0.32727272727272727
2021-06-12 11:10:14,omar,Twitter for Android,RT @animeroto: Anime fans felt this one https://t.co/BMnZzOTcJZ,514,None,135,91,0.0,0.0
2021-06-12 11:10:14,RC - 6/30 △👁‍🗨,Twitter for Android,"RT @jeralduy: Kudos to BASE Entertainment for making the Philippine flag a cityscape background art in #TreseOnNetflix anime 
#Trese #TabiT…",174,TreseOnNetflix,300,357,-0.8,1.0
2021-06-12 11:10:12,Hiccup,Twitter for Android,"RT @AnimeContexts: Watching anime         Watching anime
when I was 6               now https://t.co/1aZMWjlte9",6492,None,510,739,0.0,0.0
2021-06-12 11:10:10,RE:AnimeTron,BotXtreme,"RT @jamjagten: a lil old but not bad 🤨 kinda heated
#sasunaru #narusasu #naruto #anime #animefa #fanart https://t.co/Kuee2xp8xY",2,sasunaru,5908,1,0.22499999999999998,0.43333333333333335
2021-06-12 11:10:09,Nichi D. Yomaru,Twitter Web App,"RT @Crunchyroll: NEWS: Re-Live the JUJUTSU KAISEN TV Anime at Upcoming 2-Part Exhibition

✨ MORE: https://t.co/ocRRqiNVtI https://t.co/yUzp…",227,None,250,77,0.5,0.5
2021-06-12 11:10:06,the hateful cell,Twitter for Android,"RT @AhabsStudios: The gall of anime licensing companies to call people who pirate and fansub ""colonizers"" when they themselves alter lines…",473,None,321,1820,0.0,0.0
2021-06-12 11:10:06,Young Midoriya ♻️,Twitter for iPhone,My Hero is the best rewatchable anime https://t.co/UIe1va8H7o,0,None,823,541,1.0,0.3
2021-06-12 11:10:04,mikey,Twitter for Android,RT @YonkouProd: chainsaw man has the potential to be the greatest anime ever...the fanbase is insane...,994,None,191,440,0.0,1.0
2021-06-12 11:10:01,',Twitter Web App,RT @yutaokkostu: congrats to attack on titan for being the only anime to have armin arlert and annie leonhardt https://t.co/f74glW4Lrc,187,None,42,79,0.0,1.0
2021-06-12 11:10:01,BIG BLACK CRYPTO aKa DADDYDYOR,Twitter Web App,"https://t.co/oBgnh8z5Zr
BASED ON A TRUE STORY

Yasuke (弥助 or 弥介)(/ˈjɑːskeɪ/) was a man of African origin who served… https://t.co/bDemdAC1Jh",0,None,313,256,0.175,0.325
2021-06-12 11:09:59,˗ˏˋ🍵⁷ˎˊ˗,Twitter for Android,"RT @AnimeContexts: Watching anime         Watching anime
when I was 6               now https://t.co/1aZMWjlte9",6492,None,505,724,0.0,0.0
2021-06-12 11:09:58,cherie|| ia,Twitter for Android,RT @AnimesFeeIings: Gaming in anime 🎮 https://t.co/b0gaEFrS4Y,1175,None,41,43,0.0,0.0
2021-06-12 11:09:56,sunnie,Twitter for iPad,@i_w4tch_anime @XxSunniexX hii it flopped so ill delete it rn!  rlly srry oof,0,None,78,329,-0.625,1.0
2021-06-12 11:09:56,SAKU 🌑,Twitter Web App,"RT @RH_IXOff: 🍥 - THREAD - 🍥 (Partie I)

LES COMBATS DANS L’ANIME BORUTO : NARUTO NEXT GENERATIONS https://t.co/ZEA8JUVgo1",3,None,602,516,0.0,0.0
