created,username,source,text,retwc,hashtag,followers,friends,polarity,subjectivity
2021-06-18 20:02:28,Pandaman,Twitter for Android,"RT @ErikDavis: In the new Pixar film #Luca, the characters enjoy more than one Pasta al Pesto meal. When I watched LUCA w/ my crew, we made…",46,Luca,698,2200,0.34545454545454546,0.48484848484848486
2021-06-18 20:02:28,Liz Collins,Twitter for iPhone,@hypatia58 5. fans turning London into a human petri dish 🙄,0,None,152,526,0.0,0.1
2021-06-18 20:02:20,Craig Wright - Tech Writer,Twitter for Android,@gjhancock01 I was thinking about going further north the other day after seeing that chicken dish up your way. Par… https://t.co/00kH4h0nIq,0,None,1265,534,-0.24166666666666667,0.6083333333333333
2021-06-18 20:02:09,Linda of Pittsburgh🇺🇸💫,Twitter for iPhone,@Jimi_Jammin You could put fresh green beans in there and then you would have a true middle Eastern dish! I make it all the time😊👍🏼So good!,0,None,2936,4467,0.265,0.41000000000000003
2021-06-18 20:01:59,Anthony,Twitter for Android,"@mgordonwalker I
Have
Sky
Dish
Stories",0,None,75,24,0.0,0.0
2021-06-18 20:01:49,Judith Sturge,Twitter for iPad,@goatteeboy @btsportmotogp No sky at all or any tv here cos blooming satellite dish doesn’t like the rain!,0,None,388,747,0.0,0.0
2021-06-18 20:01:48,🙏🏼.🇺🇸.👩🏻‍🎓.⚜️🏈.💍.🌱🔥‼️,Twitter Web App,"@ShonFarook @Niyiafrika02 Okay, let me put it another way.😊

If someone invites you to a party, a potluck, a barbec… https://t.co/XH3XhHzNCv",0,None,884,395,0.5,0.5
2021-06-18 20:01:47,Katerina,Twitter for iPad,"@KawaiSusana @jimofayr @pietrosd @LadyCarolineLin @quick_philip @robertomonferra We had off dry Reisiling.
I like t… https://t.co/bp6fljgdSP",0,None,670,698,-0.06666666666666665,0.6
2021-06-18 20:01:44,Sannu onli 🕊️,Twitter for Android,@daadychilll Happy Birthday dish✨,0,None,3242,881,0.8,1.0
2021-06-18 20:01:42,¡¡¡¡Vai ¡¡¡¡¡,Twitter Web App,RT @VegWorldMag: This classic Thai pineapple fried rice is perfect as a main course or as a beautiful side dish to any of your summer meals…,4,None,7299,5499,0.5458333333333334,0.625
2021-06-18 20:01:36,SKIPTWEETBOT,PraiseSkip,Why the Dish Network subscribers. We've missed Durant's,0,None,46,2,0.0,0.0
2021-06-18 20:01:27,Joe Gambiste,Gambiste,"RT @thevaluebull: $DISH and $AMZN reinventing #networking.

The more I learn about it, the more excited I get.

I’ll soon publish a piece o…",4,networking,11986,0,0.4583333333333333,0.5833333333333334
2021-06-18 20:01:26,EDMunplugged,Twitter Web App,"@ihavenomanas &amp; @djtommytrash deliver electro-house banger 'Can't Say No' 🤩OUT TODAY 🤩 via @mau5trap 
https://t.co/AOX41FjtUU",0,None,9057,1689,0.0,0.0
2021-06-18 20:01:18,Paul Watson,Twitter for Android,What the fuck would this Italian dish rag know about it...behave! https://t.co/hq42902DqU,0,None,195,399,-0.2,0.3
2021-06-18 20:01:10,Harleen🇮🇳,Twitter Web App,"@KundiMahid No. It's a vegetarian, Maharashtrian dish. It contains sprouts in a spicy gravy.",0,None,1343,367,0.0,0.0
2021-06-18 20:01:07,Lewis VonRainbowFloof,Twitter for Android,@Grimmy_Coyote @BoozyBadger A dish of the highest steaks as it were,0,None,70,423,0.0,0.0
2021-06-18 20:00:44,On the special board:,"Cheap Bots, Done Quick!",Would you eat a burger called Crunch Party with pulled pork and sliced aubergine as toppings on Parmesan cheese and… https://t.co/KvKmVFsd6F,0,None,10,0,0.0,0.0
2021-06-18 20:00:37,good opinion haver,Twitter for Android,"RT @DocCitanUzuki: I would just like to interject for a moment. What you are referring to as ‘meatballs’ is, in fact, ‘sauce/meatballs,’ or…",2,None,77,69,0.0,0.0
2021-06-18 20:00:36,Town Planner Tim,Twitter Web App,RT @SaxonyMarket: #RecipeFromTheMarket: SPINACH! This cheesy spinach pesto flatbread is delicious as an appetizer or main dish. https://t.c…,1,RecipeFromTheMarket,1136,1230,0.2222222222222222,0.7777777777777778
2021-06-18 20:00:34,Chris/ Blue,Twitter Web App,Just doing dish's then we will be under way for Community Levelling day!,0,None,345,470,0.0,0.0
2021-06-18 20:00:32,EstateFinds4u2,Twitter Web App,"Vintage Oval Glass Divided Dish, Three Section, Flower design https://t.co/p6K05GJt6j via @Etsy",0,None,12435,4616,0.0,0.0
2021-06-18 20:00:29,Stephanie,Twitter Web App,Need a simple side dish? These garlic roasted potatoes are so easy and the whole family loves will devour them.… https://t.co/U1bxQs327p,0,None,14029,6309,0.2111111111111111,0.5301587301587302
2021-06-18 20:00:25,Lori Planken,Twitter Web App,"RT @BrendaOak4: Asian Dish, Small Bowl Blue and White, Asian Decor, Antique Japanese, Free Shipping https://t.co/sUqKuIgwgo via @Etsy",2,None,11648,12793,0.021428571428571432,0.18571428571428572
2021-06-18 20:00:23,JUICY2U💋,Twitter for iPhone,He slide on me eat up like I’m his main dish! 😜,0,None,1788,1090,0.20833333333333331,0.3333333333333333
2021-06-18 20:00:22,Lori Planken,Twitter Web App,"RT @BrendaOak4: Small Plate, Candy Dish, Hand Painted, Kitchen Serving, Display, Free Shipping https://t.co/y05a0QJZcy via @Etsy",1,None,11648,12793,0.07500000000000001,0.6000000000000001
2021-06-18 20:00:19,Jana Wilson,Twitter Web App,"@vixenC Probably a candy dish.  Most have lids.
https://t.co/OsBAoJVubt",0,None,1019,2038,0.5,0.5
2021-06-18 20:00:13,K,Twitter for iPhone,@MsBanks Dish washer,0,None,1,41,0.0,0.0
2021-06-18 20:00:12,NIER ebooks,"Cheap Bots, Done Quick!","February 4

Once I finish my secret dish, I'm gonna feed it to Dad!
Then he'll see how helpful I can be.",0,None,1225,1,-0.5,0.7
2021-06-18 20:00:12,Red Roo Gaming,Buffer,"with the satellite dish online we just need a short-range antenna to complete the comms array, and while we are at… https://t.co/72iAmhqIb7",0,None,18,57,0.1,0.4
2021-06-18 20:00:10,Reccypiecy,Twitter Web App,"@DojaCat You can dish it but you can't take it? Lol, go to sleep.",0,None,4,58,0.8,0.7
2021-06-18 20:00:09,TradeWithAlerts,TWAOpen,"Large Print $DISH Size: 751,646 Price: 40.04 Time: 1600 Amount: $30,095,905.84 - Delayed - For real time prints sub… https://t.co/yOSqiVmHe6",0,None,32441,184,0.20714285714285713,0.3642857142857143
2021-06-18 20:00:07,Gatty jackie YT °!COMISION OPEN!°,Twitter for Android,"RT @TearsofThemisEN: [DAVIS Observation Journal] Luke Pearce — Gourmet Food

A ripe and juicy tomato mixed with fresh spices, and voila! A…",348,None,33,139,-0.125,0.5833333333333334
2021-06-18 20:00:03,Kalyn Denny,Buffer,"RECIPE:  https://t.co/wBm9kpT2JZ
I know some of my readers don't eat lentils, but for those who do this Lentil Sala… https://t.co/RPGpfzVTh1",0,None,11088,2119,0.0,0.0
2021-06-18 20:00:02,KatyPerrysRoar,dlvr.it,Dish with Daily Mail – Katy Perry stars in dystopian PSA - CW33 NewsFix https://t.co/E4UfVJYbzg,0,None,548,895,0.0,0.0
2021-06-18 20:00:01,HourlyTed ✘ Misfits is so proud of ted 😩🙌,TweetDeck,dish soap eating arc https://t.co/Wnzuc9KGTw,0,None,549,819,0.0,0.0
2021-06-18 20:00:01,STELLAR,TweetDeck,"We get the dish on what our faves eat in a day 👇🥰

https://t.co/eax1fiTNKM",0,None,30325,3810,0.0,0.0
2021-06-18 19:59:59,Jack Lyon,Twitter for Android,RT @Kristian_Walsh: Christ alive when did Souness end up looking like he’s 40 and starring in Nespresso adverts. Absolute dish.,3,None,688,3506,0.15000000000000002,0.65
2021-06-18 19:59:58,"no,just no🌸",Twitter for Android,"RT @abirballan: Masks are a petri dish of filth. They are not just a small inconvenience. They are harmful, physically and psychologically.…",109,None,267,413,-0.08333333333333333,0.2142857142857143
2021-06-18 19:59:56,Zeradent,TweetShift.com,"also mushrooms peppers and sausage are the best fucking toppings for pizza, deep dish or new york style, hands down",0,None,36,5,0.07616161616161617,0.4486868686868687
2021-06-18 19:59:56,Texas_sandwich,Twitter for iPhone,You know the hot sauce is fresh when it comes out gelatiness! That there came out of the dish attached to the lid. https://t.co/aS3fqalYwe,0,None,143,502,0.3125,0.675
2021-06-18 19:59:56,Nugget✨,Twitter for iPhone,@vigilaunte @boi_dish I HATE DISHHH SO MICH I HOPE HE NEVER GETS MOUNTAIN,0,None,1337,448,-0.8,0.9
2021-06-18 19:59:53,Karenxime,Twitter Web App,"RT @24451Tmk: 🤔What's favorite dish to cook &amp; favorite mom's cooking?
🐻Anything
Kongguksu, Samgyetang &amp; Gamjatang.
Mom's Baechujeon is the…",17,None,15,82,0.5,1.0
2021-06-18 19:59:42,Mujib Baitul Hikmah,Twitter for Android,"#sortedpassiton
Do a Turkish dish please!",0,sortedpassiton,391,634,0.0,0.0
2021-06-18 19:59:30,Edward James Almost,Twitter for iPhone,"RT @RogieKnowsBest: Pro tip. Go to Hong Kong inn, buy a fried rice dish, a protein dish, a side of steamed veggies and your fav soup (hot a…",1,None,367,3440,0.25,0.8500000000000001
2021-06-18 19:59:29,EstateFinds4u2,Twitter Web App,"KPM Germany Pickle Dish, Serving Dish, White Blue Floral, Scalloped Edge Vintage https://t.co/4B9DVYdzS0 via @Etsy",0,None,12435,4616,0.0,0.05
2021-06-18 19:59:07,Alyssa Lyn Fortier,Twitter for iPhone,Check out our really fun science blog The Dish on Science - written by Stanford students for the general public! Ru… https://t.co/zQ6v1D5rTZ,0,None,254,234,0.11666666666666665,0.25555555555555554
2021-06-18 19:59:03,Saxony Market,Buffer,#RecipeFromTheMarket: SPINACH! This cheesy spinach pesto flatbread is delicious as an appetizer or main dish.… https://t.co/w2mQDb2TCw,1,RecipeFromTheMarket,684,205,0.2222222222222222,0.7777777777777778
2021-06-18 19:59:03,Boyd Neil,TweetDeck,Two overworked and prosaic words: 'dish' (as in gossip); 'drop' (as in about to 'drop' my new video). Please dump both.,0,None,2973,3104,0.13636363636363635,0.45454545454545453
2021-06-18 19:58:53,sy,Twitter for iPhone,happy birthday dish @daadychilll ❤️❤️❤️,0,None,1421,854,0.8,1.0
2021-06-18 19:58:50,jasmeen,Twitter for Android,My baba's fav dish 😊 he use to say ye bnao once I made it perfect &amp; was so appreciated 🤗 https://t.co/B1FEK7D1G6,0,None,193,208,0.6,0.55
2021-06-18 19:58:49,Finger Licking Foodie Tours,Twitter Web App,Take a self-guided deep dish pizza tour https://t.co/dp4PFdFdS3,0,None,1095,103,0.0,0.4
2021-06-18 19:58:41,Martin Montague,Twitter for iPhone,"I was just thinking… 

 “After all this effort, it’d be really stupid if I dropped it on the floor as I transferred… https://t.co/hIWLZWWdLj",0,None,1881,1223,-0.7999999999999999,1.0
2021-06-18 19:58:39,Lori Planken,Twitter Web App,RT @BibbiLou: 1990s / C.A. Clay Art / Chili Peppers / Salsa Dish / Divided Appetizer Dishes / Serving / Red &amp; Yellow / Hot Peppers https://…,1,None,11648,12793,0.08333333333333333,0.2833333333333334
2021-06-18 19:58:37,😶‍🌫️,Twitter for iPhone,if mi’chael didn’t schedule me on dish close I might have to start a fire,0,None,57,66,0.0,0.0
2021-06-18 19:58:35,Chris Greer,Twitter for Android,RT @Kristian_Walsh: Christ alive when did Souness end up looking like he’s 40 and starring in Nespresso adverts. Absolute dish.,3,None,963,2382,0.15000000000000002,0.65
2021-06-18 19:58:24,Kristian Walsh,Twitter for iPhone,Christ alive when did Souness end up looking like he’s 40 and starring in Nespresso adverts. Absolute dish.,3,None,78485,580,0.15000000000000002,0.65
2021-06-18 19:58:08,Bean,Twitter for Android,@akponcelet Dish soap will kill them so you can pull them out,0,None,258,725,0.0,0.0
2021-06-18 19:58:07,♥,Twitter for iPhone,Ok but somewhere I read that staying productive even if you just wash one dish - you feel a sense of reward from it… https://t.co/tvDIJf57jT,0,None,1111,407,0.5,0.5
